DT32 EW2,Tampines,淡滨尼,தெம்பினிஸ்,21 October 2017,Tampines,TAM,Tampines,East West Line  ― Tampines Tampines Concourse
DT33,Tampines East,淡滨尼东,தெம்பினிஸ் ஈஸ்ட்,21 October 2017,Tampines East,TPE,Tampines,—
DT34,Upper Changi,樟宜上段,அப்பர் சாங்கி,21 October 2017,Upper Changi / Somapah,UPC,Tampines,—
DT35 CG1,Expo,博览,எக்ஸ்போ,21 October 2017,Expo,XPO,Tampines,EWL Changi Airport Branch Line
TE1,Woodlands North,兀兰北,உட்லண்ட்ஸ் நார்த்,31 January 2020[19],Woodlands North / Republic Polytechnic[c] / Admiralty Park,WDN,Woodlands,—
TE2 NS9,Woodlands,兀兰,ஊட்லண்ட்ஸ்,31 January 2020[19],Woodlands,WDL,Woodlands,North South Line ― Woodlands Woodlands Temporary
TE3,Woodlands South,兀兰南,உட்லண்ட்ஸ் சவுத்,31 January 2020[19],Woodlands South / Ulu Sembawang / Woodgrove,WDS,Woodlands,—
TE4,Springleaf,春叶,ஸ்பிரிங்லீஃவ்,28 August 2021,Springleaf / Nee Soon / Thong Soon,SPL,Yishun,—
TE5,Lentor,伦多,லென்ட்டோர்,28 August 2021,Lentor / Ulu Seletar / Teachers' Estate,LTR,Ang Mo Kio,—
TE6,Mayflower,美华,மேஃபிளவர்,28 August 2021,Mayflower / Kebun Baru / Ang Mo Kio West,MFL,Ang Mo Kio,—
TE7,Bright Hill,光明山,பிரைட் ஹில்,28 August 2021,Sin Ming / Bishan Park / Bright Hill,BRH,Bishan,—
TE8,Upper Thomson,汤申路上段[20],அப்பர் தாம்சன்,28 August 2021,Upper Thomson / Thomson Plaza / Thomson Park,UTS,Bishan,—
TE9 CC17,Caldecott,加利谷,கால்டிகாட்,28 August 2021,Caldecott,CDT,Toa Payoh,Circle Line
DT10,Stevens,史蒂芬,ஸ்டீவன்ஸ்,2022,Stevens,STV,"Novena, Tanglin",Downtown Line
NS22,Orchard,乌节,ஆர்ச்சர்ட்,2022,Orchard,ORC,"Orchard Planning Area, River Valley Planning Area",North South Line
EW16 NE3,Outram Park,欧南园,ஊட்ரம் பார்க்,2022,Outram Park,OTP,"Bukit Merah, Outram",East West Line   North East Line ― Kampong Bahru
NS27 CE2,Marina Bay,滨海湾,மரீனா பே,2022,Marina Bay,MRB,"Downtown Core, Straits View Planning Area",North South Line   Circle Line
CG2,Changi Airport,樟宜机场,சாங்கி விமானநிலையம்,2040,Changi Airport,CGA,Changi,Changi Airport ― Changi Airport Terminals 1-4
CG1 DT35,Expo,博览,எக்ஸ்போ,2040,Somapah,XPO,Tampines,Downtown Line
EW4 CG,Tanah Merah,丹那美拉,தானா மேரா,2040,"Bedok, Changi",TNM,Bedok,East West Line
NS4 BP1,Choa Chu Kang,蔡厝港,சுவா சூ காங்,2027,Choa Chu Kang,CCK,Choa Chu Kang,North South Line  Bukit Panjang LRT ― Choa Chu Kang
EW27,Boon Lay,文礼,பூன் லே,2027,Boon Lay,BNL,Jurong West,East West Line ― Boon Lay
NS1 EW24,Jurong East,裕廊东,ஜூரோங் கிழக்கு,2028,Jurong East,JUR,Jurong East,North South Line  East West Line ― Jurong East
CC25,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,TBA,Haw Par Villa,HPV,Queenstown,Circle Line
EW1,Pasir Ris,巴西立,பாசிர் ரிஸ்,2030,Pasir Ris,PSR,Pasir Ris,East West Line ― Pasir Ris
NE14,Hougang,后港,ஹவ்காங்,2030,Hougang,HGN,Hougang,North East Line ― Hougang Central
NS16,Ang Mo Kio,宏茂桥,அங் மோ கியோ,2030,Ang Mo Kio,AMK,Ang Mo Kio,North South Line ― Ang Mo Kio
TE7,Bright Hill,光明山,பிரைட் ஹில்,2030,Bright Hill,BRH,Bishan,Thomson–East Coast Line
PE4,Riviera,里维拉,ரிவியாரா,2032,Riviera,RIV,Punggol,PGLRT East Loop
NE17 PTC,Punggol,榜鹅,பொங்கோல்,2032,Punggol,PGL,Punggol,North East Line  Punggol LRT ― Punggol
